"","type","fatalities","injuries","total"
"605","SEVERE THUNDERSTORM WINDS",0,0,0
"606","SEVERE THUNDERSTORMS",0,0,0
"607","SEVERE TURBULENCE",0,0,0
"609","SLEET & FREEZING RAIN",0,0,0
"610","SLEET STORM",0,0,0
"611","SLEET/FREEZING RAIN",0,0,0
"612","SLEET/ICE STORM",0,0,0
"613","SLEET/RAIN/SNOW",0,0,0
"614","SLEET/SNOW",0,0,0
"615","small hail",0,0,0
"616","Small Hail",0,0,0
"618","SMALL STREAM",0,0,0
"619","SMALL STREAM AND",0,0,0
"620","SMALL STREAM AND URBAN FLOOD",0,0,0
"621","SMALL STREAM AND URBAN FLOODIN",0,0,0
"622","SMALL STREAM FLOOD",0,0,0
"623","SMALL STREAM FLOODING",0,0,0
"624","SMALL STREAM URBAN FLOOD",0,0,0
"625","SMALL STREAM/URBAN FLOOD",0,0,0
"626","Sml Stream Fld",0,0,0
"627","SMOKE",0,0,0
"630","SNOW- HIGH WIND- WIND CHILL",0,0,0
"631","Snow Accumulation",0,0,0
"632","SNOW ACCUMULATION",0,0,0
"633","SNOW ADVISORY",0,0,0
"634","SNOW AND COLD",0,0,0
"635","SNOW AND HEAVY SNOW",0,0,0
"636","Snow and Ice",0,0,0
"638","SNOW AND ICE STORM",0,0,0
"639","Snow and sleet",0,0,0
"640","SNOW AND SLEET",0,0,0
"641","SNOW AND WIND",0,0,0
"642","SNOW DROUGHT",0,0,0
"643","SNOW FREEZING RAIN",0,0,0
"644","SNOW SHOWERS",0,0,0
"645","SNOW SLEET",0,0,0
"647","Snow squalls",0,0,0
"649","SNOW SQUALLS",0,0,0
"651","SNOW/ ICE",0,0,0
"652","SNOW/BLOWING SNOW",0,0,0
"653","SNOW/COLD",0,0,0
"654","SNOW/FREEZING RAIN",0,0,0
"655","SNOW/HEAVY SNOW",0,0,0
"657","SNOW/ICE",0,0,0
"658","SNOW/ICE STORM",0,0,0
"659","SNOW/RAIN",0,0,0
"660","SNOW/RAIN/SLEET",0,0,0
"661","SNOW/SLEET",0,0,0
"662","SNOW/SLEET/FREEZING RAIN",0,0,0
"663","SNOW/SLEET/RAIN",0,0,0
"664","SNOW\COLD",0,0,0
"665","SNOWFALL RECORD",0,0,0
"666","SNOWMELT FLOODING",0,0,0
"667","SNOWSTORM",0,0,0
"668","SOUTHEAST",0,0,0
"669","STORM FORCE WINDS",0,0,0
"672","STREAM FLOODING",0,0,0
"673","STREET FLOOD",0,0,0
"674","STREET FLOODING",0,0,0
"675","Strong Wind",0,0,0
"677","STRONG WIND GUST",0,0,0
"678","Strong winds",0,0,0
"681","Summary August 10",0,0,0
"682","Summary August 11",0,0,0
"683","Summary August 17",0,0,0
"684","Summary August 2-3",0,0,0
"685","Summary August 21",0,0,0
"686","Summary August 28",0,0,0
"687","Summary August 4",0,0,0
"688","Summary August 7",0,0,0
"689","Summary August 9",0,0,0
"690","Summary Jan 17",0,0,0
"691","Summary July 23-24",0,0,0
"692","Summary June 18-19",0,0,0
"693","Summary June 5-6",0,0,0
"694","Summary June 6",0,0,0
"695","Summary of April 12",0,0,0
"696","Summary of April 13",0,0,0
"697","Summary of April 21",0,0,0
"698","Summary of April 27",0,0,0
"699","Summary of April 3rd",0,0,0
"700","Summary of August 1",0,0,0
"701","Summary of July 11",0,0,0
"702","Summary of July 2",0,0,0
"703","Summary of July 22",0,0,0
"704","Summary of July 26",0,0,0
"705","Summary of July 29",0,0,0
"706","Summary of July 3",0,0,0
"707","Summary of June 10",0,0,0
"708","Summary of June 11",0,0,0
"709","Summary of June 12",0,0,0
"710","Summary of June 13",0,0,0
"711","Summary of June 15",0,0,0
"712","Summary of June 16",0,0,0
"713","Summary of June 18",0,0,0
"714","Summary of June 23",0,0,0
"715","Summary of June 24",0,0,0
"716","Summary of June 3",0,0,0
"717","Summary of June 30",0,0,0
"718","Summary of June 4",0,0,0
"719","Summary of June 6",0,0,0
"720","Summary of March 14",0,0,0
"721","Summary of March 23",0,0,0
"722","Summary of March 24",0,0,0
"723","SUMMARY OF MARCH 24-25",0,0,0
"724","SUMMARY OF MARCH 27",0,0,0
"725","SUMMARY OF MARCH 29",0,0,0
"726","Summary of May 10",0,0,0
"727","Summary of May 13",0,0,0
"728","Summary of May 14",0,0,0
"729","Summary of May 22",0,0,0
"730","Summary of May 22 am",0,0,0
"731","Summary of May 22 pm",0,0,0
"732","Summary of May 26 am",0,0,0
"733","Summary of May 26 pm",0,0,0
"734","Summary of May 31 am",0,0,0
"735","Summary of May 31 pm",0,0,0
"736","Summary of May 9-10",0,0,0
"737","Summary Sept. 25-26",0,0,0
"738","Summary September 20",0,0,0
"739","Summary September 23",0,0,0
"740","Summary September 3",0,0,0
"741","Summary September 4",0,0,0
"742","Summary: Nov. 16",0,0,0
"743","Summary: Nov. 6-7",0,0,0
"744","Summary: Oct. 20-21",0,0,0
"745","Summary: October 31",0,0,0
"746","Summary: Sept. 18",0,0,0
"747","Temperature record",0,0,0
"748","THUDERSTORM WINDS",0,0,0
"749","THUNDEERSTORM WINDS",0,0,0
"750","THUNDERESTORM WINDS",0,0,0
"752","Thundersnow shower",0,0,0
"755","THUNDERSTORM DAMAGE",0,0,0
"756","THUNDERSTORM DAMAGE TO",0,0,0
"757","THUNDERSTORM HAIL",0,0,0
"758","THUNDERSTORM W INDS",0,0,0
"759","Thunderstorm Wind",0,0,0
"762","THUNDERSTORM WIND 50",0,0,0
"763","THUNDERSTORM WIND 52",0,0,0
"764","THUNDERSTORM WIND 56",0,0,0
"765","THUNDERSTORM WIND 59",0,0,0
"766","THUNDERSTORM WIND 59 MPH",0,0,0
"767","THUNDERSTORM WIND 59 MPH.",0,0,0
"768","THUNDERSTORM WIND 60 MPH",0,0,0
"769","THUNDERSTORM WIND 65 MPH",0,0,0
"770","THUNDERSTORM WIND 65MPH",0,0,0
"771","THUNDERSTORM WIND 69",0,0,0
"772","THUNDERSTORM WIND 98 MPH",0,0,0
"773","THUNDERSTORM WIND G50",0,0,0
"774","THUNDERSTORM WIND G51",0,0,0
"776","THUNDERSTORM WIND G55",0,0,0
"777","THUNDERSTORM WIND G60",0,0,0
"778","THUNDERSTORM WIND G61",0,0,0
"779","THUNDERSTORM WIND TREES",0,0,0
"780","THUNDERSTORM WIND.",0,0,0
"781","THUNDERSTORM WIND/ TREE",0,0,0
"782","THUNDERSTORM WIND/ TREES",0,0,0
"783","THUNDERSTORM WIND/AWNING",0,0,0
"784","THUNDERSTORM WIND/HAIL",0,0,0
"785","THUNDERSTORM WIND/LIGHTNING",0,0,0
"787","THUNDERSTORM WINDS      LE CEN",0,0,0
"789","THUNDERSTORM WINDS 2",0,0,0
"790","THUNDERSTORM WINDS 50",0,0,0
"791","THUNDERSTORM WINDS 52",0,0,0
"792","THUNDERSTORM WINDS 53",0,0,0
"793","THUNDERSTORM WINDS 60",0,0,0
"794","THUNDERSTORM WINDS 61",0,0,0
"795","THUNDERSTORM WINDS 62",0,0,0
"796","THUNDERSTORM WINDS 63 MPH",0,0,0
"797","THUNDERSTORM WINDS AND",0,0,0
"798","THUNDERSTORM WINDS FUNNEL CLOU",0,0,0
"799","THUNDERSTORM WINDS G",0,0,0
"800","THUNDERSTORM WINDS G60",0,0,0
"801","THUNDERSTORM WINDS HAIL",0,0,0
"802","THUNDERSTORM WINDS HEAVY RAIN",0,0,0
"803","THUNDERSTORM WINDS LIGHTNING",0,0,0
"804","THUNDERSTORM WINDS SMALL STREA",0,0,0
"805","THUNDERSTORM WINDS URBAN FLOOD",0,0,0
"806","THUNDERSTORM WINDS.",0,0,0
"807","THUNDERSTORM WINDS/ FLOOD",0,0,0
"808","THUNDERSTORM WINDS/ HAIL",0,0,0
"809","THUNDERSTORM WINDS/FLASH FLOOD",0,0,0
"810","THUNDERSTORM WINDS/FLOODING",0,0,0
"811","THUNDERSTORM WINDS/FUNNEL CLOU",0,0,0
"813","THUNDERSTORM WINDS/HEAVY RAIN",0,0,0
"814","THUNDERSTORM WINDS53",0,0,0
"815","THUNDERSTORM WINDSHAIL",0,0,0
"817","THUNDERSTORM WINS",0,0,0
"818","THUNDERSTORMS",0,0,0
"819","THUNDERSTORMS WIND",0,0,0
"822","THUNDERSTORMW 50",0,0,0
"823","THUNDERSTORMW WINDS",0,0,0
"824","THUNDERSTORMWINDS",0,0,0
"825","THUNDERSTROM WIND",0,0,0
"826","THUNDERSTROM WINDS",0,0,0
"828","THUNDERTSORM WIND",0,0,0
"829","THUNDESTORM WINDS",0,0,0
"830","THUNERSTORM WINDS",0,0,0
"831","TIDAL FLOOD",0,0,0
"832","Tidal Flooding",0,0,0
"835","TORNADO DEBRIS",0,0,0
"836","TORNADO F0",0,0,0
"837","TORNADO F1",0,0,0
"840","TORNADO/WATERSPOUT",0,0,0
"841","TORNADOES",0,0,0
"843","TORNADOS",0,0,0
"844","TORNDAO",0,0,0
"845","TORRENTIAL RAIN",0,0,0
"847","TROPICAL DEPRESSION",0,0,0
"849","TROPICAL STORM ALBERTO",0,0,0
"850","TROPICAL STORM DEAN",0,0,0
"852","TROPICAL STORM JERRY",0,0,0
"853","TSTM",0,0,0
"854","TSTM HEAVY RAIN",0,0,0
"855","Tstm Wind",0,0,0
"857","TSTM WIND  (G45)",0,0,0
"858","TSTM WIND (41)",0,0,0
"862","TSTM WIND 40",0,0,0
"863","TSTM WIND 45",0,0,0
"864","TSTM WIND 50",0,0,0
"865","TSTM WIND 51",0,0,0
"866","TSTM WIND 52",0,0,0
"867","TSTM WIND 55",0,0,0
"868","TSTM WIND 65)",0,0,0
"869","TSTM WIND AND LIGHTNING",0,0,0
"870","TSTM WIND DAMAGE",0,0,0
"871","TSTM WIND G45",0,0,0
"872","TSTM WIND G58",0,0,0
"874","TSTM WINDS",0,0,0
"875","TSTM WND",0,0,0
"876","TSTMW",0,0,0
"878","TUNDERSTORM WIND",0,0,0
"880","Unseasonable Cold",0,0,0
"882","UNSEASONABLY COOL",0,0,0
"883","UNSEASONABLY COOL & WET",0,0,0
"884","UNSEASONABLY DRY",0,0,0
"885","UNSEASONABLY HOT",0,0,0
"887","UNSEASONABLY WARM & WET",0,0,0
"889","UNSEASONABLY WARM YEAR",0,0,0
"890","UNSEASONABLY WARM/WET",0,0,0
"891","UNSEASONABLY WET",0,0,0
"892","UNSEASONAL LOW TEMP",0,0,0
"893","UNSEASONAL RAIN",0,0,0
"894","UNUSUAL WARMTH",0,0,0
"895","UNUSUAL/RECORD WARMTH",0,0,0
"896","UNUSUALLY COLD",0,0,0
"897","UNUSUALLY LATE SNOW",0,0,0
"898","UNUSUALLY WARM",0,0,0
"899","URBAN AND SMALL",0,0,0
"900","URBAN AND SMALL STREAM",0,0,0
"901","URBAN AND SMALL STREAM FLOOD",0,0,0
"903","Urban flood",0,0,0
"904","Urban Flood",0,0,0
"905","URBAN FLOOD",0,0,0
"906","URBAN FLOOD LANDSLIDE",0,0,0
"907","Urban Flooding",0,0,0
"908","URBAN FLOODING",0,0,0
"909","URBAN FLOODS",0,0,0
"910","URBAN SMALL",0,0,0
"911","URBAN SMALL STREAM FLOOD",0,0,0
"912","URBAN/SMALL",0,0,0
"913","URBAN/SMALL FLOODING",0,0,0
"914","URBAN/SMALL STREAM",0,0,0
"915","URBAN/SMALL STREAM  FLOOD",0,0,0
"916","URBAN/SMALL STREAM FLOOD",0,0,0
"917","URBAN/SMALL STREAM FLOODING",0,0,0
"918","URBAN/SMALL STRM FLDG",0,0,0
"920","URBAN/SML STREAM FLDG",0,0,0
"921","URBAN/STREET FLOODING",0,0,0
"922","VERY DRY",0,0,0
"923","VERY WARM",0,0,0
"924","VOG",0,0,0
"925","Volcanic Ash",0,0,0
"926","VOLCANIC ASH",0,0,0
"927","Volcanic Ash Plume",0,0,0
"928","VOLCANIC ASHFALL",0,0,0
"929","VOLCANIC ERUPTION",0,0,0
"930","WAKE LOW WIND",0,0,0
"931","WALL CLOUD",0,0,0
"932","WALL CLOUD/FUNNEL CLOUD",0,0,0
"933","WARM DRY CONDITIONS",0,0,0
"935","WATER SPOUT",0,0,0
"937","WATERSPOUT-",0,0,0
"938","WATERSPOUT-TORNADO",0,0,0
"939","WATERSPOUT FUNNEL CLOUD",0,0,0
"941","WATERSPOUT/",0,0,0
"942","WATERSPOUT/ TORNADO",0,0,0
"944","WATERSPOUTS",0,0,0
"945","WAYTERSPOUT",0,0,0
"946","wet micoburst",0,0,0
"947","WET MICROBURST",0,0,0
"948","Wet Month",0,0,0
"949","WET SNOW",0,0,0
"950","WET WEATHER",0,0,0
"951","Wet Year",0,0,0
"953","WHIRLWIND",0,0,0
"956","WILD/FOREST FIRES",0,0,0
"958","WILDFIRES",0,0,0
"959","Wind",0,0,0
"961","WIND ADVISORY",0,0,0
"962","WIND AND WAVE",0,0,0
"963","WIND CHILL",0,0,0
"964","WIND CHILL/HIGH WIND",0,0,0
"965","Wind Damage",0,0,0
"966","WIND DAMAGE",0,0,0
"967","WIND GUSTS",0,0,0
"969","WIND/HAIL",0,0,0
"971","WINTER MIX",0,0,0
"974","WINTER STORM/HIGH WIND",0,0,0
"975","WINTER STORM/HIGH WINDS",0,0,0
"977","Winter Weather",0,0,0
"981","WINTERY MIX",0,0,0
"982","Wintry mix",0,0,0
"983","Wintry Mix",0,0,0
"985","WND",0,0,0
