"","type","fatalities","injuries","total"
"751","THUNDERSNOW",1,1,2
"839","TORNADO F3",0,2,2
"881","UNSEASONABLY COLD",2,0,2
"934","WARM WEATHER",0,2,2
"970","WINDS",1,1,2
"18","AVALANCE",1,0,1
"57","COASTAL FLOODING",1,0,1
"59","Coastal Storm",0,1,1
"64","COASTALSTORM",1,0,1
"80","COLD/WINDS",1,0,1
"97","DROWNING",1,0,1
"108","DRY MIRCOBURST WINDS",0,1,1
"114","Dust Devil",0,1,1
"138","Extended Cold",1,0,1
"171","FLOOD & HEAVY RAIN",1,0,1
"183","FLOOD/RIVER FLOOD",1,0,1
"192","FREEZE",1,0,1
"207","FREEZING RAIN/SNOW",1,0,1
"208","Freezing Spray",1,0,1
"242","Gusty Winds",0,1,1
"274","HAZARDOUS SURF",0,1,1
"323","HEAVY SNOW/BLIZZARD/AVALANCHE",0,1,1
"338","Heavy Surf",1,0,1
"345","HIGH",0,1,1
"353","HIGH SWELLS",1,0,1
"357","HIGH WAVES",1,0,1
"361","HIGH WIND 48",0,1,1
"371","HIGH WIND/HEAVY SNOW",0,1,1
"405","HURRICANE EMILY",0,1,1
"407","HURRICANE FELIX",1,0,1
"413","HYPERTHERMIA/EXPOSURE",1,0,1
"414","HYPOTHERMIA",1,0,1
"424","ICE ON ROAD",1,0,1
"426","ICE ROADS",0,1,1
"467","LIGHTNING AND THUNDERSTORM WIN",0,1,1
"471","LIGHTNING INJURY",0,1,1
"474","LIGHTNING.",1,0,1
"500","MINOR FLOODING",1,0,1
"520","Mudslides",1,0,1
"527","NON TSTM WIND",0,1,1
"545","RAIN/WIND",1,0,1
"547","RAPIDLY RISING WATER",1,0,1
"550","RECORD COLD",1,0,1
"591","River Flooding",0,1,1
"648","Snow Squalls",1,0,1
"650","SNOW/ BITTER COLD",1,0,1
"679","Strong Winds",1,0,1
"761","THUNDERSTORM WIND (G40)",1,0,1
"775","THUNDERSTORM WIND G52",1,0,1
"788","THUNDERSTORM WINDS 13",0,1,1
"812","THUNDERSTORM WINDS/HAIL",0,1,1
"820","THUNDERSTORMS WINDS",0,1,1
"827","THUNDERTORM WINDS",1,0,1
"833","TIDAL FLOODING",0,1,1
"859","TSTM WIND (G35)",1,0,1
"860","TSTM WIND (G40)",0,1,1
"902","URBAN AND SMALL STREAM FLOODIN",1,0,1
"940","WATERSPOUT TORNADO",0,1,1
"952","Whirlwind",1,0,1
"968","WIND STORM",1,0,1
"1","   HIGH SURF ADVISORY",0,0,0
"2"," COASTAL FLOOD",0,0,0
"3"," FLASH FLOOD",0,0,0
"4"," LIGHTNING",0,0,0
"5"," TSTM WIND",0,0,0
"6"," TSTM WIND (G45)",0,0,0
"7"," WATERSPOUT",0,0,0
"8"," WIND",0,0,0
"9","?",0,0,0
"10","ABNORMAL WARMTH",0,0,0
"11","ABNORMALLY DRY",0,0,0
"12","ABNORMALLY WET",0,0,0
"13","ACCUMULATED SNOWFALL",0,0,0
"14","AGRICULTURAL FREEZE",0,0,0
"15","APACHE COUNTY",0,0,0
"16","ASTRONOMICAL HIGH TIDE",0,0,0
"17","ASTRONOMICAL LOW TIDE",0,0,0
"20","BEACH EROSIN",0,0,0
"21","Beach Erosion",0,0,0
"22","BEACH EROSION",0,0,0
"23","BEACH EROSION/COASTAL FLOOD",0,0,0
"24","BEACH FLOOD",0,0,0
"25","BELOW NORMAL PRECIPITATION",0,0,0
"26","BITTER WIND CHILL",0,0,0
"27","BITTER WIND CHILL TEMPERATURES",0,0,0
"28","Black Ice",0,0,0
"31","BLIZZARD AND EXTREME WIND CHIL",0,0,0
"32","BLIZZARD AND HEAVY SNOW",0,0,0
"33","Blizzard Summary",0,0,0
"34","BLIZZARD WEATHER",0,0,0
"35","BLIZZARD/FREEZING RAIN",0,0,0
"36","BLIZZARD/HEAVY SNOW",0,0,0
"37","BLIZZARD/HIGH WIND",0,0,0
"38","BLIZZARD/WINTER STORM",0,0,0
"39","BLOW-OUT TIDE",0,0,0
"40","BLOW-OUT TIDES",0,0,0
"41","BLOWING DUST",0,0,0
"43","Blowing Snow",0,0,0
"45","BLOWING SNOW- EXTREME WIND CHI",0,0,0
"46","BLOWING SNOW & EXTREME WIND CH",0,0,0
"47","BLOWING SNOW/EXTREME WIND CHIL",0,0,0
"48","BREAKUP FLOODING",0,0,0
"50","BRUSH FIRES",0,0,0
"51","COASTAL  FLOODING/EROSION",0,0,0
"52","COASTAL EROSION",0,0,0
"53","Coastal Flood",0,0,0
"55","coastal flooding",0,0,0
"61","COASTAL SURGE",0,0,0
"62","COASTAL/TIDAL FLOOD",0,0,0
"63","COASTALFLOOD",0,0,0
"67","COLD AIR FUNNEL",0,0,0
"68","COLD AIR FUNNELS",0,0,0
"69","COLD AIR TORNADO",0,0,0
"70","Cold and Frost",0,0,0
"71","COLD AND FROST",0,0,0
"73","COLD AND WET CONDITIONS",0,0,0
"75","COLD TEMPERATURES",0,0,0
"78","COLD WIND CHILL TEMPERATURES",0,0,0
"81","COOL AND WET",0,0,0
"82","COOL SPELL",0,0,0
"83","CSTL FLOODING/EROSION",0,0,0
"84","DAM BREAK",0,0,0
"85","DAM FAILURE",0,0,0
"86","Damaging Freeze",0,0,0
"87","DAMAGING FREEZE",0,0,0
"88","DEEP HAIL",0,0,0
"90","DENSE SMOKE",0,0,0
"91","DOWNBURST",0,0,0
